territory,start_year,end_year,start_rli,end_rli,endpoint_change,annual_decreases,declined_every_year,full_slope_per_decade,early_slope_per_decade,late_slope_per_decade,acceleration_per_decade
American Samoa,1993,2024,0.87,0.87,0.0,1,False,-0.0035740469208211923,0.004117647058823594,-0.0022058823529409874,-0.00632352941176458
Cook Islands,1993,2024,0.82,0.79,-0.029999999999999916,4,False,-0.012481671554252219,-0.005147058823529352,-0.02205882352941243,-0.016911764705883077
Federated States of Micronesia,1993,2024,0.76,0.65,-0.10999999999999999,11,False,-0.03883797653958949,-0.032058823529412,-0.04191176470588391,-0.009852941176471904
Fiji,1993,2024,0.74,0.69,-0.050000000000000044,5,False,-0.01711876832844583,-0.013382352941176633,-0.020441176470589045,-0.007058823529412412
French Polynesia,1993,2024,0.76,0.7,-0.06000000000000005,6,False,-0.02153592375366576,-0.019852941176470774,-0.023529411764706798,-0.003676470588236027
Guam,1993,2024,0.71,0.36,-0.35,30,False,-0.11361803519061578,-0.11661764705882426,-0.1102941176470621,0.0063235294117621604
Kiribati,1993,2024,0.83,0.74,-0.08999999999999997,9,False,-0.03038856304985338,-0.025294117647058842,-0.03500000000000138,-0.009705882352942534
Marshall Islands,1993,2024,0.9,0.82,-0.08000000000000007,8,False,-0.029802052785923856,-0.02382352941176485,-0.031764705882353805,-0.007941176470588951
Nauru,1993,2024,0.9,0.81,-0.08999999999999997,9,False,-0.031158357771261008,-0.03088235294117677,-0.030882352941177634,-8.630249292984615e-16
New Caledonia,1993,2024,0.72,0.63,-0.08999999999999997,9,False,-0.0295271260997068,-0.02955882352941192,-0.03088235294117732,-0.0013235294117654
Niue,1993,2024,0.78,0.8,0.020000000000000018,5,False,0.012738269794721216,0.056029411764706306,-0.022058823529412415,-0.07808823529411872
Northern Mariana Islands,1993,2024,0.69,0.58,-0.10999999999999999,11,False,-0.03819648093841642,-0.04676470588235327,-0.033823529411765835,0.01294117647058744
Palau,1993,2024,0.95,0.66,-0.2899999999999999,29,False,-0.09488636363636366,-0.09426470588235364,-0.09058823529412048,0.0036764705882331647
Papua New Guinea,1993,2024,0.92,0.82,-0.10000000000000009,10,False,-0.032771260997067495,-0.03147058823529424,-0.0338235294117658,-0.002352941176471555
Pitcairn,1993,2024,0.82,0.7,-0.12,12,False,-0.03973607038123171,-0.03764705882352956,-0.04117647058823681,-0.0035294117647072503
Samoa,1993,2024,0.79,0.76,-0.030000000000000027,3,False,-0.009127565982404776,-0.00573529411764718,-0.011029411764706539,-0.0052941176470593584
Solomon Islands,1993,2024,0.84,0.75,-0.08999999999999997,9,False,-0.030260263929618843,-0.023823529411764705,-0.03308823529411886,-0.00926470588235416
Tokelau,1993,2024,0.91,0.84,-0.07000000000000006,7,False,-0.023497067448680423,-0.021470588235294356,-0.025882352941177383,-0.0044117647058830286
Tonga,1993,2024,0.77,0.72,-0.050000000000000044,5,False,-0.016220674486803588,-0.0127941176470587,-0.02088235294117712,-0.008088235294118418
Tuvalu,1993,2024,0.92,0.82,-0.10000000000000009,10,False,-0.032862903225806504,-0.030882352941176673,-0.032794117647059945,-0.0019117647058832735
Vanuatu,1993,2024,0.75,0.66,-0.08999999999999997,9,False,-0.029453812316715542,-0.026764705882353225,-0.0330882352941188,-0.0063235294117655735
Wallis and Futuna,1993,2024,0.91,0.84,-0.07000000000000006,7,False,-0.02582478005865111,-0.02382352941176484,-0.02573529411764773,-0.001911764705882892
