indicator,territory,unit,n_years,start_year,end_year,full_slope,common_n_years,common_slope
surface temperature,American Samoa,°C / century,176,1850,2025,0.4077481840193714,31,1.5443548387096895
surface temperature,Cook Islands,°C / century,176,1850,2025,0.3597182478538416,31,1.3145161290322627
surface temperature,Federated States of Micronesia,°C / century,176,1850,2025,0.3546995377503859,31,2.3951612903225876
surface temperature,Fiji,°C / century,176,1850,2025,0.3771846797270534,31,2.399193548387112
surface temperature,French Polynesia,°C / century,176,1850,2025,0.4384657715166195,31,0.5282258064516197
surface temperature,Guam,°C / century,176,1850,2025,0.37192383887299196,31,2.137096774193561
surface temperature,Kiribati,°C / century,176,1850,2025,0.360708782742682,31,0.7217741935483843
surface temperature,Marshall Islands,°C / century,176,1850,2025,0.43082764692934267,31,1.6250000000000049
surface temperature,Nauru,°C / century,176,1850,2025,0.27901166629980295,31,1.483870967741944
surface temperature,New Caledonia,°C / century,176,1850,2025,0.41168831168831205,31,2.0725806451612816
surface temperature,Niue,°C / century,176,1850,2025,0.33301782962799986,31,1.9475806451613022
surface temperature,Northern Mariana Islands,°C / century,176,1850,2025,0.3575941008144401,31,2.2016129032258203
surface temperature,Palau,°C / century,176,1850,2025,0.3004512436715832,31,2.447580645161291
surface temperature,Papua New Guinea,°C / century,176,1850,2025,0.42465331278890667,31,2.181451612903222
surface temperature,Pitcairn,°C / century,176,1850,2025,0.22843935725291717,31,0.6330645161290408
surface temperature,Samoa,°C / century,176,1850,2025,0.4077481840193714,31,1.5443548387096895
surface temperature,Solomon Islands,°C / century,176,1850,2025,0.4150341184239499,31,2.3104838709677566
surface temperature,Tokelau,°C / century,176,1850,2025,0.4312348668280881,31,0.987903225806454
surface temperature,Tonga,°C / century,176,1850,2025,0.32416905128769585,31,2.4475806451612985
surface temperature,Tuvalu,°C / century,176,1850,2025,0.35468853180717674,31,1.3750000000000078
surface temperature,Vanuatu,°C / century,176,1850,2025,0.43455866167730633,31,2.33064516129033
surface temperature,Wallis and Futuna,°C / century,176,1850,2025,0.4010015408320503,31,1.661290322580659
sea-surface temperature,American Samoa,°C / century,176,1850,2025,0.384800792427912,31,1.6209677419354946
sea-surface temperature,Cook Islands,°C / century,176,1850,2025,0.3638124587277135,31,1.3104838709677502
sea-surface temperature,Federated States of Micronesia,°C / century,176,1850,2025,0.35497468633061935,31,2.1935483870967816
sea-surface temperature,Fiji,°C / century,176,1850,2025,0.3437266123706808,31,2.37500000000001
sea-surface temperature,French Polynesia,°C / century,176,1850,2025,0.3881465991635486,31,0.935483870967747
