territory,first_year,last_year,trend_per_year,annual_variability,largest_absolute_anomaly,safe_water_2020,wmo_fixed_land_stations_2026
American Samoa,1979.0,2025.0,0.2159690101757618,10.253671078340368,24.7,89.85,
Cook Islands,1979.0,2025.0,0.05822155411655655,8.531372695762714,22.2,99.97,2.0
Federated States of Micronesia,1979.0,2025.0,0.4359158186863962,15.392293865869505,44.4,90.11,3.0
Fiji,1979.0,2025.0,0.09614939870490226,11.880731685544616,24.2,95.42,8.0
French Polynesia,1979.0,2025.0,-0.06465078630897413,7.409637572423606,20.4,83.52,7.0
Guam,1979.0,2025.0,0.1869333950046257,10.296873150124275,27.0,,
Kiribati,1979.0,2025.0,-0.22700046253468323,20.314098538821714,50.3,74.31,4.0
Marshall Islands,1979.0,2025.0,0.1650439407955605,10.521095939087427,25.9,85.49,2.0
Nauru,1979.0,2025.0,-0.48657493061978974,30.714675264370687,66.6,100.0,0.0
New Caledonia,1979.0,2025.0,-0.3990864939870484,14.309695386473258,37.3,96.64,4.0
Niue,1979.0,2025.0,0.4297756706752985,11.973358106555825,24.1,97.01,0.0
Northern Mariana Islands,1979.0,2025.0,0.11328630897317417,11.696858295587283,27.0,90.64,
Palau,1979.0,2025.0,0.4008556891766848,14.643046674486607,31.6,99.56,1.0
Papua New Guinea,1979.0,2025.0,0.14163968547640982,9.825094360154456,26.7,48.11,6.0
Pitcairn,1979.0,2025.0,-0.11975023126734415,9.871870632622473,28.3,,0.0
Samoa,1979.0,2025.0,0.24087650323774237,10.390415778759971,27.3,97.4,2.0
Solomon Islands,1979.0,2025.0,0.40814061054578843,11.47545302816691,28.0,67.3,3.0
Tokelau,1979.0,2025.0,-0.14845050878815708,17.62600388491309,38.8,,1.0
Tonga,1979.0,2025.0,0.5205134135060115,12.172624766644548,37.0,98.74,4.0
Tuvalu,1979.0,2025.0,-0.20004625346900648,17.489117271655555,41.5,99.22,3.0
Vanuatu,1979.0,2025.0,0.2669981498612367,12.869748823602142,33.7,90.49,6.0
Wallis and Futuna,1979.0,2025.0,0.3985430157261785,11.661404434136706,37.7,68.89,
