STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,INDICATOR,Indicator,GEO_PICT,Pacific Island Countries and territories,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,INCOME,Income,EDUCATION,Education level,OCCUPATION,Occupation,COMPOSITE_BREAKDOWN,Composite breakdown,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,REPORTING_TYPE,Reporting type,NATURE,Nature,DATA_SOURCE,Data source,OBS_STATUS,Observation Status,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,TO,Tonga,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,1993,,0.77,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,TO,Tonga,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,1994,,0.77,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,TO,Tonga,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,1995,,0.77,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,TO,Tonga,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,1996,,0.77,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,TO,Tonga,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,1997,,0.76,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,TO,Tonga,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,1998,,0.76,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,TO,Tonga,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,1999,,0.76,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,TO,Tonga,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2000,,0.76,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,TO,Tonga,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2001,,0.76,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,TO,Tonga,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2002,,0.76,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
